From /home/will/bnl/hsr_lattice/EIC-HSR-240102b/hi-n/275-10-collision, run:
tao -init tao.init 
Then run:
sho track -points 1000 -twiss -dispersion -position no -momentum no
(Accurate as of April 5, 2024 - have to remove the px, py, pz columns manually)
# Ix S Beta_a Alpha_a Beta_b Alpha_b Eta_x Etap_x Eta_y Etap_y
163 621.712067 56.107020 3.019170 56.107020 3.019170 0.061448 -0.003254 -0.000000 0.000000
164 625.549796 35.588813 2.327276 35.588813 2.327276 0.048961 -0.003254 -0.000000 0.000000
165 629.387525 20.381208 1.635382 20.381208 1.635382 0.036474 -0.003254 -0.000000 0.000000
166 633.225253 10.484205 0.943488 10.484205 0.943488 0.023987 -0.003254 -0.000000 0.000000
167 637.062982 5.897805 0.251594 5.897805 0.251594 0.011501 -0.003254 -0.000000 0.000000
168 640.900711 6.622007 -0.440300 6.622007 -0.440300 -0.000986 -0.003254 -0.000000 0.000000
169 644.738440 12.656811 -1.132194 12.656811 -1.132194 -0.013473 -0.003254 -0.000000 0.000000
170 648.576169 24.002218 -1.824088 24.002218 -1.824088 -0.025959 -0.003254 -0.000000 0.000000
171 652.413897 40.658227 -2.515982 40.658227 -2.515982 -0.038446 -0.003254 -0.000000 0.000000
172 656.251626 62.624978 -3.208028 62.624687 -3.207697 -0.050841 -0.002832 -0.000000 0.000000
173 660.089355 89.902469 -3.899656 89.900273 -3.899523 -0.054539 0.000905 0.000000 0.000000
174 663.927084 122.571863 -5.351405 122.402315 -3.831964 -0.046077 0.002302 0.000000 0.000000
175 667.764813 237.863411 -10.228064 98.313812 0.278903 -0.047251 0.001070 0.000000 0.000000
176 671.602541 151.160303 18.948703 185.632227 -20.258788 -0.026945 0.007273 0.000000 0.000000
177 675.440270 81.286339 3.258231 238.376052 4.502478 -0.003313 0.005450 0.000000 0.000000
178 679.277999 58.382622 2.709808 205.131789 4.160005 0.017601 0.005450 0.000000 0.000000
179 683.115728 39.688307 2.161385 174.516163 3.817532 0.038516 0.005450 0.000000 0.000000
180 686.953457 25.203392 1.612961 146.529174 3.475059 0.059430 0.005450 0.000000 0.000000
181 690.791186 14.927878 1.064538 121.170822 3.132586 0.080344 0.005450 0.000000 0.000000
182 694.628914 8.861765 0.516114 98.441107 2.790113 0.101258 0.005450 0.000000 0.000000
183 698.466643 7.005052 -0.032309 78.340029 2.447640 0.122172 0.005450 0.000000 0.000000
184 702.304372 9.357741 -0.580733 60.867588 2.105167 0.143087 0.005450 0.000000 0.000000
185 706.142101 15.919831 -1.129156 46.023784 1.762694 0.164001 0.005450 0.000000 0.000000
186 709.979830 26.691321 -1.677580 33.808616 1.420221 0.184915 0.005450 0.000000 0.000000
187 713.817558 38.435077 1.300894 26.298667 -1.197183 0.197559 -0.012463 0.000000 0.000000
188 717.655287 16.059356 2.375503 53.353019 -4.455631 0.104563 -0.025502 0.000000 0.000000
189 721.493016 4.421605 0.410867 84.384639 2.065416 0.008212 -0.023485 0.000000 -0.000000
190 725.330745 5.593641 -0.637270 59.107234 3.010294 -0.078927 -0.018761 0.000000 -0.000000
191 729.168474 14.184771 -1.601141 38.509036 2.356995 -0.120554 -0.002932 0.000000 -0.000000
192 733.006202 30.168526 -2.563459 22.925211 1.703695 -0.101446 0.012503 0.000000 -0.000000
193 736.843931 42.657701 1.889898 15.923977 -0.633608 -0.045384 0.019967 0.000000 0.000000
194 740.681660 29.730317 1.478601 22.083424 -0.971364 0.031243 0.019967 0.000000 0.000000
195 744.519389 19.959829 1.067303 30.835304 -1.309120 0.107871 0.019967 0.000000 0.000000
196 748.357118 13.343682 0.656655 42.179616 -1.646876 0.205483 0.032120 0.000000 0.000000
197 752.194846 12.571016 -0.659178 44.073041 2.022057 0.363063 0.055242 0.000000 -0.000000
198 756.032575 19.311179 -1.097112 30.253356 1.578949 0.575066 0.055242 0.000000 -0.000000
199 759.870304 29.412688 -1.535046 19.834726 1.135841 0.787069 0.055242 0.000000 -0.000000
200 763.708033 42.875543 -1.972981 12.817151 0.692734 0.999072 0.055242 0.000000 -0.000000
201 767.545762 41.196704 1.941248 13.316959 -0.717078 1.008559 -0.040099 0.000000 -0.000000
202 771.383490 27.995821 1.498570 20.495521 -1.153446 0.876610 -0.026674 0.000000 -0.000000
203 775.221219 18.195895 1.054791 31.023405 -1.589813 0.804500 -0.010905 0.000000 -0.000000
204 779.058948 11.806995 0.609656 44.900612 -2.026181 0.788267 -0.001312 0.000000 -0.000000
205 782.896677 13.923397 -0.798527 38.875212 1.920030 0.972801 0.070418 -0.000000 -0.000000
206 786.734406 21.784754 -1.249913 25.913624 1.457381 1.243045 0.070418 -0.000000 -0.000000
207 790.572135 33.110006 -1.700659 16.503079 0.994732 1.515954 0.075091 -0.000000 -0.000000
208 794.409863 47.887243 -2.150362 10.643575 0.532083 1.825867 0.082501 -0.000000 -0.000000
209 798.247592 37.774744 1.854073 14.100004 -0.836537 1.617999 -0.080504 -0.000000 -0.000000
210 802.085321 25.266852 1.404847 22.296332 -1.299186 1.339219 -0.064777 -0.000000 -0.000000
211 805.923050 16.212662 0.954214 34.043702 -1.761835 1.120827 -0.049034 -0.000000 -0.000000
212 809.760779 10.780293 0.130918 48.634923 -0.532363 0.956445 -0.010513 -0.000000 -0.000000
213 813.598507 15.710483 -0.922757 34.995080 1.794089 1.107855 0.047936 -0.000000 0.000000
214 817.436236 24.523520 -1.373471 23.000149 1.331440 1.322035 0.063680 -0.000000 0.000000
215 821.273965 36.791004 -1.822810 14.556260 0.868791 1.596607 0.079408 -0.000000 0.000000
216 825.111694 48.937733 1.526716 10.390710 -0.360960 1.845894 -0.057884 -0.000000 0.000000
217 828.949423 34.028410 1.731950 15.979432 -0.962479 1.536132 -0.076225 -0.000000 0.000000
218 832.787151 22.459581 1.282297 25.142417 -1.425128 1.273784 -0.060493 -0.000000 0.000000
219 836.624880 14.347266 0.831359 37.856444 -1.887776 1.071841 -0.044746 -0.000000 0.000000
220 840.462609 11.474246 -0.593785 45.957405 2.130796 0.983454 0.043790 -0.000000 0.000000
221 844.300338 17.766793 -1.045560 31.378089 1.668147 1.160173 0.052223 -0.000000 0.000000
